Number,City,Population 2025
1,Berwyn,3216
2,Bladensburg,9315
3,Bowie,56595
4,Brentwood,3666
5,Capitol Heights,3898
6,Cheverly,5923
7,College Park,33846
8,Colmar Manor,1529
9,Cottage City,1277
10,District Heights,5725
11,Eagle Harbor,62
12,Edmonston,1549
13,Farimount Heights,1468
14,Forest Heights,2553
15,Glenarden,6188
16,Greenbelt,24020
17,Hyattsville,20344
18,Landover Hills,24768
19,Laurel,29011
20,Morningside,1194
21,Mount Rainier,7988
22,New Carrollton,13216
23,North Brentwood,566
24,Riverdale Park,7051
25,Seat Pleasant,4393
26,University Park,2337
27,Upper Marlboro,695
